title,rating,score_num,comment_num,ratio,work_id
疯狂的石头,8.6,802510,104503,0.13,1862151
雨中曲,9.1,218536,54125,0.248,1293460
小偷家族,8.7,798464,205559,0.257,27622447
爆裂鼓手,8.7,575010,151777,0.264,25773932
无敌破坏王,8.7,525427,107212,0.204,6534248
2001太空漫游,8.9,316424,98474,0.311,1292226
背靠背，脸对脸,9.5,126659,40527,0.32,1307856
贫民窟的百万富翁,8.6,732841,106843,0.146,2209573
小丑,8.7,983854,264457,0.269,27119724
无间道2,8.7,464958,70968,0.153,1307106
冰川时代,8.6,600130,58711,0.098,1291578
东邪西毒,8.6,566204,97866,0.173,1292328
恐怖游轮,8.5,840489,180448,0.215,3011051
心灵奇旅,8.7,952715,351870,0.369,24733428
真爱至上,8.6,721172,189985,0.263,1292401
牯岭街少年杀人事件,8.9,290131,77232,0.266,1292329
你看起来好像很好吃,8.9,326654,90473,0.277,4848115
遗愿清单,8.7,448022,96256,0.215,1867345
魔女宅急便,8.7,448598,71087,0.158,1307811
东京教父,9.0,221530,64797,0.292,1310177
黑天鹅,8.6,768470,172818,0.225,1978709
大佛普拉斯,8.7,442108,120506,0.273,27059130
可可西里,8.9,296808,55031,0.185,1308857
城市之光,9.3,142208,30320,0.213,1293908
雨人,8.7,396172,66660,0.168,1291870
源代码,8.5,818780,168196,0.205,3075287
恋恋笔记本,8.6,656333,160180,0.244,1309163
海边的曼彻斯特,8.6,519703,165645,0.319,25980443
初恋这件小事,8.5,965957,233649,0.242,4739952
人工智能,8.7,435476,95508,0.219,1302827
虎口脱险,8.9,250631,48895,0.195,1296909
波西米亚狂想曲,8.6,589507,171830,0.291,5300054
青蛇,8.6,512299,97407,0.19,1303394
终结者2：审判日,8.8,334652,39206,0.117,1291844
萤火虫之墓,8.7,398891,82261,0.206,1293318
罗生门,8.8,307049,71219,0.232,1291879
疯狂的麦克斯4：狂暴之路,8.7,515432,130349,0.253,3592854
新龙门客栈,8.7,433227,65901,0.152,1292287
千钧一发,8.8,289356,76739,0.265,1300117
奇迹男孩,8.6,542964,144929,0.267,26787574
无耻混蛋,8.6,464250,98195,0.212,1438652
崖上的波妞,8.6,481523,97687,0.203,1959877
二十二,8.7,287279,77882,0.271,26430107
彗星来的那一夜,8.5,562871,142057,0.252,25807345
末路狂花,8.9,244077,68933,0.282,1291992
黑客帝国2：重装上阵,8.7,397658,47441,0.119,1304141
血钻,8.7,371981,59626,0.16,1428175
房间,8.8,363045,91403,0.252,25724855
爱乐之城,8.4,871843,284034,0.326,25934014
花束般的恋爱,8.6,589844,234921,0.398,34874432
步履不停,8.8,272992,84102,0.308,2222996
战争之王,8.7,360005,54092,0.15,1419936
魂断蓝桥,8.8,272146,56113,0.206,1293964
火星救援,8.5,709940,160857,0.227,25864085
谍影重重2,8.7,344360,42631,0.124,1308767
哈利·波特与死亡圣器(上),8.5,556193,78435,0.141,2051007
千年女优,8.8,258679,81593,0.315,1307394
芙蓉镇,9.3,128968,39935,0.31,1297880
燃情岁月,8.8,280979,64792,0.231,1295865
阿飞正传,8.5,499834,110688,0.221,1305690
弱点,8.7,298730,68697,0.23,3552028
谍影重重,8.6,415940,62467,0.15,1304102
朗读者,8.6,446986,84805,0.19,2213597
再次出发之纽约遇见你,8.6,419194,119755,0.286,6874403
香水,8.5,534889,117977,0.221,1760622
海洋,9.1,154801,45887,0.296,3443389
哈利·波特与凤凰社,8.5,548023,59565,0.109,1457217
穿越时空的少女,8.6,374600,87224,0.233,1937946
地球上的星星,8.9,201113,51297,0.255,2363506
